qCODE_SESSION|DESCRIPTION|DESCRIPTION_ACT|DESCRIPTION_NAT|NOM_COUR|LIEU_1|LIEU_2|ARRONDISSEMENT|ADRESSE|DATE_DEB|DATE_FIN|JOUR_SEMAINE|HEURE_DEBUT|HEURE_FIN
H2015|Bain libre - Pour tous|Bain libre - Pour tous|Activites aquatiques|DCLVC de La Cite-Limoilou|Centre communautaire Lucien-Borne|CC Lucien-Borne piscine 101|Arrondissement de La Cite-Limoilou|100, chemin Sainte-Foy, Quebec (QC) G1R 1T2 |2015-01-03|2015-06-07|Samedi|14:00:00|15:25:00
H2015|Bain libre - Pour tous|Bain libre - Pour tous|Activites aquatiques|DCLVC de La Cite-Limoilou|Centre communautaire Lucien-Borne|CC Lucien-Borne piscine 101|Arrondissement de La Cite-Limoilou|100, chemin Sainte-Foy, Quebec (QC) G1R 1T2 |2015-01-03|2015-06-07|Samedi|19:00:00|20:25:00
P2015|Atelier de theatre|Theatre et improvisation|Arts de la scene|Association des TCC des deux rives|Centre communautaire Lucien-Borne|CC Lucien-Borne salle 304|Arrondissement de La Cite-Limoilou|100, chemin Sainte-Foy, Quebec (QC) G1R 1T2 |2015-04-10|2015-06-12|Vendredi|09:30:00|11:30:00
H2015|Conditionnement physique progressif|Conditionnement physique progressif|Activites physiques|YWCA Quebec|Y.W.C.A|Y.W.C.A gymnase|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-01-06|2015-06-18|Jeudi|10:30:00|11:30:00
H2015|Bains libres \ familiaux|Bains libres - Pour familles|Activites aquatiques|YWCA Quebec|Y.W.C.A|Y.W.C.A. piscine|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-01-06|2015-06-19|Dimanche|13:30:00|15:25:00
P2015|Aquajogging|Aquajogging|Activites aquatiques|YWCA Quebec|Y.W.C.A|Y.W.C.A. piscine|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-04-27|2015-06-15|Lundi|13:30:00|14:25:00
P2015|Aquajogging|Aquajogging|Activites aquatiques|YWCA Quebec|Y.W.C.A|Y.W.C.A. piscine|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-04-28|2015-06-16|Mardi|09:30:00|10:25:00
P2015|Endurance et correction de styles|AquAdultes|Cours de natation|YWCA Quebec|Y.W.C.A|Y.W.C.A. piscine|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-04-27|2015-06-17|Lundi|19:00:00|19:55:00
P2015|Aquaforme|Aquaforme|Activites aquatiques|YWCA Quebec|Y.W.C.A|Y.W.C.A. piscine|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-04-27|2015-06-15|Lundi|13:00:00|13:55:00
P2015|Technique de relaxation|Relaxation|Mieux-etre|YWCA Quebec|Y.W.C.A|Y.W.C.A.|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-05-02|2015-06-20|Samedi|10:30:00|11:25:00
P2015|Yoga-Pilates|Yoga|Mieux-etre|YWCA Quebec|Y.W.C.A|Y.W.C.A.|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-04-28|2015-06-16|Mardi|11:00:00|11:55:00
P2015|Zumba|Zumba|Activites physiques|YWCA Quebec|Y.W.C.A|Y.W.C.A.|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-04-28|2015-06-16|Mardi|17:15:00|18:10:00
P2015|Zumba|Zumba|Activites physiques|YWCA Quebec|Y.W.C.A|Y.W.C.A.|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-04-29|2015-06-17|Mercredi|18:15:00|19:10:00
P2015|Zumba|Zumba|Activites physiques|YWCA Quebec|Y.W.C.A|Y.W.C.A.|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-05-01|2015-06-20|Samedi|09:00:00|09:55:00
P2015|Zumba toning|Zumba|Activites physiques|YWCA Quebec|Y.W.C.A|Y.W.C.A.|Arrondissement de La Cite-Limoilou|855, avenue Holland, Quebec (QC) G1S 3S5 |2015-05-02|2015-06-20|Samedi|10:00:00|10:55:00
H2015|Volley-ball - Pratique organisee|Volley-ball - Pratique organisee|Sports et de plein air|Loisirs Duberger-Les Saules inc.|Centre communautaire Les Saules|Centre communautaire Les Saules \ gymnase simple|Arrondissement des Rivieres|4120, rue De Musset, Quebec (QC) G1P 1P1 |2015-01-13|2015-04-28|Mardi|19:45:00|21:45:00
H2015|Tricot - Broderie - Tissage - Frivolite|Tricot, broderie, tissage, frivolite|Artisanat|Cercle de Fermieres Saint-Monique Les Saules (Le)|Centre communautaire Les Saules|Centre communautaire Les Saules \ p. salle 152|Arrondissement des Rivieres|4120, rue De Musset, Quebec (QC) G1P 1P1 |2015-01-03|2015-08-31|Mardi|13:30:00|15:30:00
H2015|Tricot - Broderie - Tissage - Frivolite|Tricot, broderie, tissage, frivolite|Artisanat|Cercle de Fermieres Saint-Monique Les Saules (Le)|Centre communautaire Les Saules|Centre communautaire Les Saules \ p. salle 152|Arrondissement des Rivieres|4120, rue De Musset, Quebec (QC) G1P 1P1 |2015-01-03|2015-08-31|Jeudi|19:00:00|21:00:00
H2015|Relache scolaire|Relache scolaire|Relache|Loisirs Duberger-Les Saules inc.|Centre communautaire Les Saules|Centre communautaire Les Saules \ gr. salle E102|Arrondissement des Rivieres|4120, rue De Musset, Quebec (QC) G1P 1P1 |2015-03-02|2015-03-06|Jeudi|15:30:00|18:00:00
H2015|Relache scolaire|Relache scolaire|Relache|Loisirs Duberger-Les Saules inc.|Centre communautaire Les Saules|Centre communautaire Les Saules \ p. salle 259-261|Arrondissement des Rivieres|4120, rue De Musset, Quebec (QC) G1P 1P1 |2015-03-02|2015-03-06|Jeudi|15:30:00|18:00:00
H2015|Relache scolaire|Relache scolaire|Relache|Loisirs Duberger-Les Saules inc.|Centre communautaire Les Saules|Centre communautaire Les Saules \ p. salle 256|Arrondissement des Rivieres|4120, rue De Musset, Quebec (QC) G1P 1P1 |2015-03-02|2015-03-06|Jeudi|15:30:00|18:00:00
H2015|Relache scolaire|Relache scolaire|Relache|Loisirs Duberger-Les Saules inc.|Centre communautaire Les Saules|Centre communautaire Les Saules \ gymnase simple|Arrondissement des Rivieres|4120, rue De Musset, Quebec (QC) G1P 1P1 |2015-03-02|2015-03-06|Vendredi|07:00:00|18:00:00
